Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,This is just a test account-SECUR TEST ACCOUNT,1234567890,S9999-0000,MI,NA,,10/20/2021,10/20/2015,01/01/2022,,,,,,,,,,889 LADY ELLEN PLACE UNIT C,,,,,,,0,,,,,,,07/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,27 HOBIN STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,150 ABBEYHILL DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,133 GREENBANK ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,170 STONEWAY DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,300 ROCHESTER STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,1250 AGINCOURT ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,440 ALBERT STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,1349 RANDALL AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2021,09/19/2016,01/01/2022,,,,,,,,,,2129 ARCH STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
