Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,AI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,AI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,159 CLEOPATRA DRIVE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,AI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,AI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,2 GURDWARA ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,AI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,AI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,BI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,MI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Annual & periodic inspections-SIGMA ASSET MANAGEMENT LTD.,COLONNADE TENDER,,MI,NA,,01/14/2021,01/14/2019,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COMPASS COMMERICAL REALTY,COLONNADE TENDER,,BI,NA,,11/28/2021,11/28/2018,01/01/2021,,,,,,,,,,1335 CARLING AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
